Year,RECORD OF THE YEAR,BEST NEW ARTIST,SONG OF THE YEAR,ALBUM OF THE YEAR
2016,Really Love,Courtney Barnett,Alright,Sound & Color
2016,Uptown Funk,James Bay,Blank Space,To Pimp a Butterfly
2016,Thinking Out Loud,Sam Hunt,Girl Crush,Traveller
2016,Blank Space,Tori Kelly,See You Again,1989
2016,Can't Feel My Face,Meghan Trainor,Thinking Out Loud,Beauty Behind the Madness
